	RepresentativeContig	Contig	EdgeType	RepresentativeLength	ContigLength	qstart	qend	sstart	send	Cluster_ID
256	SRR12664575.5.1_segment0_np1212	SRR12664619.46447.1	s in q	49597	457	15271	15706	8	443	29
257	SRR12664575.5.1_segment0_np1212	SRR12664619.49493.1	s in q	49597	336	38129	38460	3	333	29
258	SRR12664575.5.1_segment0_np1212	SRR12664619.59788.1	s in q	49597	315	21676	21985	0	310	29
259	SRR12664575.5.1_segment0_np1212	SRR12664619.91085.1	s in q	49597	419	3608	4011	8	410	29
260	SRR12664575.5.1_segment0_np1212	SRR12664619.96027.1	s in q	49597	698	44617	45306	2	691	29
261	SRR12664575.50.1_segment0_np1212	SRR12664619.72919.1	s in q	23249	303	8641	8928	9	296	30
262	SRR12664575.51.1_segment0_np1212	SRR12664619.15799.1	s in q	22504	418	482	894	1	411	30
263	SRR12664575.51.1_segment0_np1212	SRR12664619.21932.1	s in q	22504	548	7256	7773	6	523	30
264	SRR12664575.51.1_segment0_np1212	SRR12664619.42314.1	s in q	22504	630	18181	18778	0	602	30
265	SRR12664575.51.1_segment0_np1212	SRR12664619.66993.1	s in q	22504	337	10635	10964	6	335	30
266	SRR12664575.51.1_segment0_np1212	SRR12664619.83410.1	s in q	22504	337	13300	13629	6	336	30
267	SRR12664575.51.1_segment0_np1212	SRR12664619.94401.1	s in q	22504	321	10932	11242	4	313	30
268	SRR12664575.51.1_segment0_np1212	SRR12664619.97973.1	s in q	22504	318	3698	4006	7	315	30
269	SRR12664575.52.1_segment0_np1212	SRR12664619.14427.1	s in q	44428	453	11499	11940	1	445	31
270	SRR12664575.52.1_segment0_np1212	SRR12664619.32193.1	s in q	44428	298	29827	30117	4	294	31
271	SRR12664575.52.1_segment0_np1212	SRR12664619.35277.1	s in q	44428	309	33905	34211	3	308	31
272	SRR12664575.52.1_segment0_np1212	SRR12664619.41621.1	s in q	44428	325	8353	8656	10	316	31
273	SRR12664575.52.1_segment0_np1212	SRR12664619.90476.1	s in q	44428	644	34339	34960	5	626	31
274	SRR12664575.53.1_segment0_np1212	SRR12664619.11371.1	s in q	21988	320	16784	17096	3	316	32
275	SRR12664575.53.1_segment0_np1212	SRR12664619.65343.1	s in q	21988	397	19707	20100	3	394	32
276	SRR12664575.54.1_segment0_np1212	SRR12664619.69616.1	s in q	20835	356	16943	17264	19	340	33
277	SRR12664575.54.1_segment0_np1212	SRR12664619.73226.1	s in q	20835	667	540	1183	22	665	33
278	SRR12664575.54.1_segment0_np1212	SRR12664619.84263.1	s in q	20835	574	18217	18760	2	545	33
279	SRR12664575.54.1_segment0_np1212	SRR12664619.90203.1	s in q	20835	476	3237	3708	1	472	33
280	SRR12664575.55.1_segment0_np1212	SRR12664619.27780.1	s in q	17250	317	6713	7015	6	308	34
281	SRR12664575.55.1_segment0_np1212	SRR12664619.54716.1	s in q	17250	340	1265	1597	1	334	34
282	SRR12664575.55.1_segment0_np1212	SRR12664619.75762.1	s in q	17250	873	8070	8878	33	840	34
283	SRR12664575.55.1_segment0_np1212	SRR12664619.79945.1	s in q	17250	332	9089	9417	2	331	34
284	SRR12664575.56.1_segment0_np1212	SRR12664619.23375.1	s in q	7008	971	2291	3251	1	959	35
285	SRR12664575.56.1_segment0_np1212	SRR12664619.31308.1	s in q	7008	926	3698	4620	0	919	35
286	SRR12664575.56.1_segment0_np1212	SRR12664619.69065.1	s in q	7008	739	1575	2306	5	734	35
287	SRR12664575.56.1_segment0_np1212	SRR12664619.8464.1	s in q	7008	375	5994	6359	5	370	35
288	SRR12664575.57.1_segment0_np1212	SRR12664619.66008.1	q in s	1419	670	8	662	11	665	36
289	SRR12664575.57.1_segment0_np1212	SRR12664619.79735.1	s in q	1419	495	849	1317	23	491	36
290	SRR12664575.59.1_segment0_np1212	SRR12664619.75301.1	s in q	24956	364	8231	8574	13	356	37
291	SRR12664575.6.1_segment0_np1212	SRR12664619.18303.1	s in q	18912	464	15750	16196	7	453	37
292	SRR12664575.6.1_segment0_np1212	SRR12664619.36092.1	s in q	18912	407	13656	14054	5	403	37
293	SRR12664575.6.1_segment0_np1212	SRR12664619.37229.1	s in q	18912	584	16316	16893	0	577	37
294	SRR12664575.6.1_segment0_np1212	SRR12664619.47477.1	s in q	18912	763	4667	5415	3	751	37
295	SRR12664575.6.1_segment0_np1212	SRR12664619.5269.1	s in q	18912	366	17723	18078	2	359	37
296	SRR12664575.6.1_segment0_np1212	SRR12664619.60592.1	s in q	18912	327	15522	15836	6	320	37
297	SRR12664575.6.1_segment0_np1212	SRR12664619.62526.1	s in q	18912	437	1004	1436	3	435	37
298	SRR12664575.6.1_segment0_np1212	SRR12664619.68299.1	s in q	18912	776	14304	15026	49	768	37
299	SRR12664575.6.1_segment0_np1212	SRR12664619.71320.1	s in q	18912	346	3777	4119	4	345	37
300	SRR12664575.6.1_segment0_np1212	SRR12664619.97637.1	s in q	18912	419	12422	12837	1	416	37
301	SRR12664575.60.1_segment0_np1212	SRR12664619.11277.1	s in q	19733	339	6981	7305	8	332	38
302	SRR12664575.60.1_segment0_np1212	SRR12664619.15279.1	s in q	19733	349	9933	10276	7	348	38
303	SRR12664575.60.1_segment0_np1212	SRR12664619.46786.1	s in q	19733	407	12376	12771	3	398	38
304	SRR12664575.60.1_segment0_np1212	SRR12664619.59559.1	s in q	19733	499	11722	12188	9	477	38
305	SRR12664575.60.1_segment0_np1212	SRR12664619.78487.1	s in q	19733	416	6000	6406	5	411	38
306	SRR12664575.61.1_segment0_np1212	SRR12664619.27432.1	s in q	26157	484	6387	6857	6	475	39
307	SRR12664575.61.1_segment0_np1212	SRR12664619.44374.1	s in q	26157	627	10021	10633	7	618	39
308	SRR12664575.61.1_segment0_np1212	SRR12664619.79298.1	s in q	26157	315	4594	4883	9	298	39
309	SRR12664575.62.1_segment0_np1212	SRR12664619.57559.1	s in q	1813	1076	21	1071	5	1054	40
310	SRR12664575.64.1_segment0_np1212	SRR12664619.87523.1	s in q	25421	440	15292	15723	8	439	40
311	SRR12664575.68.1_segment0_np1212	SRR12664619.29740.1	s in q	29692	867	25913	26707	9	802	40
312	SRR12664575.68.1_segment0_np1212	SRR12664619.84453.1	s in q	29692	1056	5068	6110	5	1047	40
313	SRR12664575.68.1_segment0_np1212	SRR12664619.94863.1	s in q	29692	1273	7130	8397	1	1268	40
314	SRR12664575.69.1_segment0_np1212	SRR12664619.86474.1	s in q	1939	548	1430	1937	3	510	41
315	SRR12664575.7.1_segment0_np1212	SRR12664619.22410.1	s in q	37059	494	9468	9953	9	492	41
316	SRR12664575.7.1_segment0_np1212	SRR12664619.30520.1	s in q	37059	1316	7183	8481	4	1301	41
317	SRR12664575.7.1_segment0_np1212	SRR12664619.33766.1	s in q	37059	1085	3577	4635	9	1063	41
318	SRR12664575.7.1_segment0_np1212	SRR12664619.42297.1	s in q	37059	450	22130	22571	6	447	41
319	SRR12664575.7.1_segment0_np1212	SRR12664619.52327.1	s in q	37059	314	20248	20557	5	313	41
320	SRR12664575.7.1_segment0_np1212	SRR12664619.5523.1	s in q	37059	637	23642	24245	11	612	41
321	SRR12664575.7.1_segment0_np1212	SRR12664619.57871.1	s in q	37059	339	2652	2966	21	335	41
322	SRR12664575.7.1_segment0_np1212	SRR12664619.58560.1	s in q	37059	1576	25178	26733	24	1574	41
323	SRR12664575.7.1_segment0_np1212	SRR12664619.61867.1	s in q	37059	304	24945	25246	3	304	41
324	SRR12664575.7.1_segment0_np1212	SRR12664619.66834.1	s in q	37059	312	19110	19401	5	296	41
325	SRR12664575.7.1_segment0_np1212	SRR12664619.70016.1	s in q	37059	1363	4757	6113	2	1357	41
326	SRR12664575.7.1_segment0_np1212	SRR12664619.93189.1	s in q	37059	526	21122	21626	5	504	41
327	SRR12664575.7.1_segment0_np1212	SRR12664619.98149.1	s in q	37059	549	3012	3546	8	541	41
328	SRR12664575.71.1_segment0_np1212	SRR12664619.31530.1	s in q	21992	298	4052	4326	9	284	42
329	SRR12664575.71.1_segment0_np1212	SRR12664619.54156.1	s in q	21992	353	1964	2302	9	344	42
330	SRR12664575.71.1_segment0_np1212	SRR12664619.8407.1	s in q	21992	366	10482	10821	18	357	42
331	SRR12664575.72.1_segment0_np1212	SRR12664619.18684.1	s in q	15619	621	10514	11117	7	612	43
332	SRR12664575.72.1_segment0_np1212	SRR12664619.23274.1	s in q	15619	351	8483	8826	5	348	43
333	SRR12664575.72.1_segment0_np1212	SRR12664619.93551.1	s in q	15619	394	12450	12834	5	390	43
334	SRR12664575.73.1_segment0_np1212	SRR12664619.17565.1	s in q	31165	507	7036	7514	1	481	44
335	SRR12664575.73.1_segment0_np1212	SRR12664619.21470.1	s in q	31165	864	6162	7016	4	855	44
336	SRR12664575.73.1_segment0_np1212	SRR12664619.22625.1	s in q	31165	308	26481	26788	0	308	44
337	SRR12664575.73.1_segment0_np1212	SRR12664619.22641.1	s in q	31165	1059	8859	9905	5	1054	44
338	SRR12664575.73.1_segment0_np1212	SRR12664619.24153.1	s in q	31165	1123	7769	8884	4	1118	44
339	SRR12664575.73.1_segment0_np1212	SRR12664619.25313.1	s in q	31165	929	10527	11448	9	929	44
340	SRR12664575.73.1_segment0_np1212	SRR12664619.28312.1	s in q	31165	2111	17901	20004	4	2105	44
341	SRR12664575.73.1_segment0_np1212	SRR12664619.30228.1	s in q	31165	726	24171	24891	5	725	44
342	SRR12664575.73.1_segment0_np1212	SRR12664619.35656.1	s in q	31165	576	27232	27794	12	573	44
343	SRR12664575.73.1_segment0_np1212	SRR12664619.39691.1	s in q	31165	665	13276	13921	17	662	44
344	SRR12664575.73.1_segment0_np1212	SRR12664619.47414.1	s in q	31165	706	5190	5889	0	705	44
345	SRR12664575.73.1_segment0_np1212	SRR12664619.53112.1	s in q	31165	361	16432	16778	7	352	44
346	SRR12664575.73.1_segment0_np1212	SRR12664619.54041.1	s in q	31165	438	731	1169	1	436	44
347	SRR12664575.73.1_segment0_np1212	SRR12664619.54596.1	s in q	31165	767	24876	25642	5	767	44
348	SRR12664575.73.1_segment0_np1212	SRR12664619.57522.1	s in q	31165	378	10128	10502	2	377	44
349	SRR12664575.73.1_segment0_np1212	SRR12664619.6160.1	s in q	31165	429	15668	16087	4	422	44
350	SRR12664575.73.1_segment0_np1212	SRR12664619.62362.1	s in q	31165	718	29482	30196	0	714	44
351	SRR12664575.73.1_segment0_np1212	SRR12664619.67330.1	s in q	31165	484	17490	17975	0	484	44
352	SRR12664575.73.1_segment0_np1212	SRR12664619.72706.1	s in q	31165	498	28226	28708	6	489	44
353	SRR12664575.73.1_segment0_np1212	SRR12664619.75780.1	s in q	31165	1261	20027	21286	9	1261	44
354	SRR12664575.73.1_segment0_np1212	SRR12664619.8646.1	s in q	31165	704	12682	13324	3	645	44
355	SRR12664575.73.1_segment0_np1212	SRR12664619.88575.1	s in q	31165	1067	22465	23527	8	1066	44
356	SRR12664575.73.1_segment0_np1212	SRR12664619.97996.1	s in q	31165	337	1263	1588	5	330	44
357	SRR12664575.74.1_segment0_np1212	SRR12664619.53418.1	s in q	35275	1058	21873	22843	23	993	45
358	SRR12664575.74.1_segment0_np1212	SRR12664619.58697.1	s in q	35275	721	3258	3969	3	713	45
359	SRR12664575.74.1_segment0_np1212	SRR12664619.88409.1	s in q	35275	351	6219	6564	7	351	45
360	SRR12664575.74.1_segment0_np1212	SRR12664619.94452.1	s in q	35275	347	5038	5375	4	341	45
361	SRR12664575.76.1_segment0_np1212	SRR12664619.17640.1	s in q	21859	385	8562	8925	20	380	46
362	SRR12664575.76.1_segment0_np1212	SRR12664619.51708.1	s in q	21859	1711	15472	17167	7	1702	46
363	SRR12664575.76.1_segment0_np1212	SRR12664619.75904.1	s in q	21859	314	15218	15519	4	305	46
364	SRR12664575.77.1_segment0_np1212	SRR12664619.4621.1	s in q	20320	320	2469	2781	5	314	47
365	SRR12664575.77.1_segment0_np1212	SRR12664619.4746.1	s in q	20320	302	9111	9403	4	295	47
366	SRR12664575.8.1_segment0_np1212	SRR12664619.38046.1	s in q	28214	396	8412	8797	9	394	48
367	SRR12664575.8.1_segment0_np1212	SRR12664619.56234.1	s in q	28214	490	14601	15081	1	481	48
368	SRR12664575.8.1_segment0_np1212	SRR12664619.62399.1	s in q	28214	350	22039	22389	0	350	48
369	SRR12664575.8.1_segment0_np1212	SRR12664619.82446.1	s in q	28214	330	5620	5917	3	300	48
370	SRR12664575.8.1_segment0_np1212	SRR12664619.83903.1	s in q	28214	409	13696	14099	2	405	48
371	SRR12664575.8.1_segment0_np1212	SRR12664619.92712.1	s in q	28214	370	7780	8136	5	364	48
372	SRR12664575.81.1_segment0_np1212	SRR12664619.23901.1	s in q	40897	347	31813	32153	5	345	49
373	SRR12664575.82.1_segment0_np1212	SRR12664619.41975.1	s in q	46258	325	24670	24984	9	324	49
374	SRR12664575.82.1_segment0_np1212	SRR12664619.64433.1	s in q	46258	321	22501	22794	2	295	49
375	SRR12664575.82.1_segment0_np1212	SRR12664619.78483.1	s in q	46258	543	21211	21750	1	540	49
376	SRR12664575.83.1_segment0_np1212	SRR12664619.22977.1	s in q	31482	1127	6607	7712	16	1119	50
377	SRR12664575.83.1_segment0_np1212	SRR12664619.62337.1	s in q	31482	443	14973	15405	4	436	50
378	SRR12664575.83.1_segment0_np1212	SRR12664619.89354.1	s in q	31482	390	9337	9716	5	384	50
379	SRR12664575.84.1_segment0_np1212	SRR12664619.95503.1	s in q	10241	322	5088	5404	3	319	51
380	SRR12664575.85.1_segment0_np1212	SRR12664619.57818.1	s in q	28834	656	18937	19566	20	649	51
381	SRR12664575.89.1_segment0_np1212	SRR12664619.2535.1	s in q	19293	324	11933	12241	8	315	51
382	SRR12664575.89.1_segment0_np1212	SRR12664619.42244.1	s in q	19293	323	6002	6315	7	320	51
383	SRR12664575.89.1_segment0_np1212	SRR12664619.75556.1	s in q	19293	668	6469	7099	28	655	51
384	SRR12664575.92.1_segment0_np1212	SRR12664619.13700.1	s in q	12449	409	5363	5763	1	401	52
385	SRR12664575.92.1_segment0_np1212	SRR12664619.1555.1	s in q	12449	377	8516	8864	22	370	52
386	SRR12664575.92.1_segment0_np1212	SRR12664619.16342.1	s in q	12449	808	7457	8232	4	778	52
387	SRR12664575.92.1_segment0_np1212	SRR12664619.42707.1	s in q	12449	398	1858	2246	3	392	52
388	SRR12664575.92.1_segment0_np1212	SRR12664619.4510.1	s in q	12449	330	5709	6029	1	321	52
389	SRR12664575.92.1_segment0_np1212	SRR12664619.74525.1	s in q	12449	460	4082	4503	5	426	52
390	SRR12664575.93.1_segment0_np1212	SRR12664619.51884.1	s in q	4847	828	1738	2560	6	828	53
391	SRR12664575.94.1_segment0_np1212	SRR12664619.30395.1	s in q	30896	993	15742	16717	12	988	53
392	SRR12664575.94.1_segment0_np1212	SRR12664619.42276.1	s in q	30896	307	13634	13938	3	307	53
393	SRR12664575.94.1_segment0_np1212	SRR12664619.44838.1	s in q	30896	298	17112	17387	19	294	53
394	SRR12664575.94.1_segment0_np1212	SRR12664619.46245.1	s in q	30896	299	13007	13304	0	297	53
395	SRR12664575.94.1_segment0_np1212	SRR12664619.64381.1	s in q	30896	353	21563	21906	9	352	53
396	SRR12664575.94.1_segment0_np1212	SRR12664619.68185.1	s in q	30896	627	24771	25393	0	622	53
397	SRR12664575.94.1_segment0_np1212	SRR12664619.6838.1	s in q	30896	589	10652	11211	21	580	53
398	SRR12664575.94.1_segment0_np1212	SRR12664619.95391.1	s in q	30896	1670	19685	21347	7	1670	53
399	SRR12664619.31169.1	SRR12664619.1643.1	q in s	658	303	5	298	360	653	54
